story_id,story_name,rating,n_votes,total_readers,author_id,author,added_on,codes,slavery,nc,torture,Serious,violent,humiliation,B/D,bestiality,D/s,Forced
3160.0,Cheerleaders' Rape and Torture,9.5,66.0,1775714,369,Semiater,"Jan 29, 2005","['M+/f+', 'bestiality', 'enema', 'fisting', 'spanking', 'teen', 'toys', 'WaterSport', 'BDSM', 'slavery', 'bondage', 'real', 'humiliation', 'torture', 'nc', 'Extreme']",1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5357.0,From Society Girl To Slave,8.0,9.0,96636,364,Anonymous,"Mar 27, 2007","['F+/f', 'enema', 'modification', 'toys', 'D/s', 'B/D', 'BDSM', 'feet', 'latex', 'slavery', 'lingerie', 'bondage', 'chastitybelt', 'reluctant', 'humiliation', 'blackmail', 'torture', 'nc', 'Extreme', 'Serious', 'violent']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
496.0,Parker 01: Dear Diary,9.5,7.0,35070,251,Parker,"Sep 17, 2001","['MF/f', 'D/s', 'slavery', 'reluctant', 'nc', 'Light']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10501.0,Sara the Puppy Girl,8.5,9.0,225870,4124, Lokker12,"Jun 22, 2014","['M/f', 'enema', 'modification', 'teen', 'toys', 'Swallowing', 'TitTorture', 'B/D', 'S/M', 'BDSM', 'latex', 'slavery', 'bondage', 'real', 'humiliation', 'torture', 'Forced', 'Heavy', 'violent']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
9171.0,Lesbian Slave Auction II:  Return to Stonebriar,7.5,8.0,255050,856,Jlou,"May 8, 2011","['F+/f+', 'incest', 'teen', 'TitTorture', 'BDSM', 'latex', 'slavery', 'lingerie', 'bondage', 'chastitybelt', 'Rape', 'torture', 'nc', 'Forced', 'Extreme']",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
491.0,Stacy's Senior Year,9.0,17.0,132275,251,Parker,"Sep 9, 2001","['MF/mf', 'teen', 'slavery', 'HighSchool', 'slow', 'humiliation', 'blackmail', 'nc', 'Light', 'Hardcore']",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1241.0,Two for Torment,10.0,8.0,236702,550,pamela,"Oct 13, 2002","['M/f', 'incest', 'B/D', 'S/M', 'torture', 'nc', 'Heavy', 'violent']",0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
851.0,Parker 21: Teacher's Ransom,9.0,4.0,51839,251,Parker,"Apr 1, 2002","['M/f', 'F/f', 'slavery', 'nc', 'Serious']",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10344.0,European Nightmare,9.0,3.0,145763,4051,   JoshJones,"Sep 15, 2013","['M/f', 'M/f+', 'M+/f', 'M+/f+', 'F/f', 'F/f+', 'MF/f', 'spanking', 'teen', 'toys', 'TitTorture', 'Rape', 'HighSchool', 'torture', 'nc', 'Forced', 'Heavy']",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24.0,Captured Caroline,9.5,28.0,190581,20,Quin,"Jul 7, 2000","['M/f', 'B/D', 'nc', 'Serious']",0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
886.0,Parker 23: Lady Jane Greystone's Remarkable Experiment,9.0,2.0,38015,251,Parker,"Apr 16, 2002","['M+/f', 'bestiality', 'slavery', 'historical', 'Serious']",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
